left_to_pin_before,penalty,hole_no,shot_no,completed,putt,left_to_pin_after,par,yards,mp_name,usa_player1,usa_player2,eur_player1,eur_player2,mp_start_time,player_shot_name,shot_team,lie_after,lie_before
24,FALSE,13,4,FALSE,TRUE,1,3,248,Saturday Foursomes Match 4,Patrick Reed,Jordan Spieth,Rafa Cabrera Bello,Sergio Garcia,2016-10-01 13:20:00,Jordan Spieth,USA,NA,Green
20124,FALSE,16,1,TRUE,FALSE,10260,5,572,Saturday Foursomes Match 1,Rickie Fowler,Phil Mickelson,Thomas Pieters,Rory Mcilroy,2016-10-01 12:35:00,Phil Mickelson,USA,Rough,Tee
7272,FALSE,12,2,TRUE,FALSE,144,4,528,Saturday Foursomes Match 4,Patrick Reed,Jordan Spieth,Rafa Cabrera Bello,Sergio Garcia,2016-10-01 13:20:00,Patrick Reed,USA,Green,Fairway
144,FALSE,12,3,TRUE,TRUE,1,4,528,Saturday Foursomes Match 4,Patrick Reed,Jordan Spieth,Rafa Cabrera Bello,Sergio Garcia,2016-10-01 13:20:00,Jordan Spieth,USA,Hole,Green
10260,FALSE,16,2,TRUE,FALSE,3132,5,572,Saturday Foursomes Match 1,Rickie Fowler,Phil Mickelson,Thomas Pieters,Rory Mcilroy,2016-10-01 12:35:00,Rickie Fowler,USA,Fairway,Rough
252,FALSE,16,4,TRUE,TRUE,12,5,572,Saturday Foursomes Match 1,Rickie Fowler,Phil Mickelson,Thomas Pieters,Rory Mcilroy,2016-10-01 12:35:00,Rickie Fowler,USA,Green,Green
12,FALSE,16,5,TRUE,TRUE,1,5,572,Saturday Foursomes Match 1,Rickie Fowler,Phil Mickelson,Thomas Pieters,Rory Mcilroy,2016-10-01 12:35:00,Phil Mickelson,USA,NA,Green
16128,FALSE,14,1,TRUE,FALSE,6048,4,448,Saturday Foursomes Match 3,Jimmy Walker,Zach Johnson,Justin Rose,Chris Wood,2016-10-01 13:05:00,Jimmy Walker,USA,Fairway Bunker,Tee
6048,FALSE,14,2,TRUE,FALSE,360,4,448,Saturday Foursomes Match 3,Jimmy Walker,Zach Johnson,Justin Rose,Chris Wood,2016-10-01 13:05:00,Zach Johnson,USA,Green,Fairway Bunker
360,FALSE,14,3,TRUE,TRUE,1,4,448,Saturday Foursomes Match 3,Jimmy Walker,Zach Johnson,Justin Rose,Chris Wood,2016-10-01 13:05:00,Jimmy Walker,USA,Hole,Green
16128,FALSE,14,1,TRUE,FALSE,6264,4,448,Saturday Foursomes Match 4,Patrick Reed,Jordan Spieth,Rafa Cabrera Bello,Sergio Garcia,2016-10-01 13:20:00,Jordan Spieth,USA,Fairway Bunker,Tee
9108,FALSE,13,1,TRUE,FALSE,1620,3,248,Saturday Foursomes Match 4,Patrick Reed,Jordan Spieth,Rafa Cabrera Bello,Sergio Garcia,2016-10-01 13:20:00,Patrick Reed,USA,Rough,Tee
6264,FALSE,14,2,TRUE,FALSE,792,4,448,Saturday Foursomes Match 4,Patrick Reed,Jordan Spieth,Rafa Cabrera Bello,Sergio Garcia,2016-10-01 13:20:00,Patrick Reed,USA,Greenside Bunker,Fairway Bunker
3132,FALSE,16,3,TRUE,FALSE,252,5,572,Saturday Foursomes Match 1,Rickie Fowler,Phil Mickelson,Thomas Pieters,Rory Mcilroy,2016-10-01 12:35:00,Phil Mickelson,USA,Green,Fairway
20124,FALSE,16,1,TRUE,FALSE,9864,5,572,Saturday Foursomes Match 2,Brandt Snedeker,Brooks Koepka,Henrik Stenson,Matthew Fitzpatrick,2016-10-01 12:50:00,Brandt Snedeker,USA,Fairway,Tee
14580,FALSE,15,1,TRUE,FALSE,3636,4,405,Saturday Foursomes Match 3,Jimmy Walker,Zach Johnson,Justin Rose,Chris Wood,2016-10-01 13:05:00,Zach Johnson,USA,Fairway,Tee
3636,FALSE,15,2,TRUE,FALSE,420,4,405,Saturday Foursomes Match 3,Jimmy Walker,Zach Johnson,Justin Rose,Chris Wood,2016-10-01 13:05:00,Jimmy Walker,USA,Green,Fairway
60,FALSE,14,4,TRUE,TRUE,12,4,448,Saturday Foursomes Match 4,Patrick Reed,Jordan Spieth,Rafa Cabrera Bello,Sergio Garcia,2016-10-01 13:20:00,Patrick Reed,USA,Green,Green
12,FALSE,14,5,TRUE,TRUE,1,4,448,Saturday Foursomes Match 4,Patrick Reed,Jordan Spieth,Rafa Cabrera Bello,Sergio Garcia,2016-10-01 13:20:00,Jordan Spieth,USA,NA,Green
9864,FALSE,16,2,TRUE,FALSE,648,5,572,Saturday Foursomes Match 2,Brandt Snedeker,Brooks Koepka,Henrik Stenson,Matthew Fitzpatrick,2016-10-01 12:50:00,Brooks Koepka,USA,Green Fringe,Fairway
648,FALSE,16,3,TRUE,FALSE,72,5,572,Saturday Foursomes Match 2,Brandt Snedeker,Brooks Koepka,Henrik Stenson,Matthew Fitzpatrick,2016-10-01 12:50:00,Brandt Snedeker,USA,Green,Green Fringe
72,FALSE,16,4,TRUE,TRUE,1,5,572,Saturday Foursomes Match 2,Brandt Snedeker,Brooks Koepka,Henrik Stenson,Matthew Fitzpatrick,2016-10-01 12:50:00,Brooks Koepka,USA,NA,Green
12,FALSE,5,4,TRUE,TRUE,1,4,352,Saturday Foursomes Match 3,Jimmy Walker,Zach Johnson,Justin Rose,Chris Wood,2016-10-01 13:05:00,Jimmy Walker,USA,Hole,Green
20124,FALSE,16,1,TRUE,FALSE,9792,5,572,Saturday Foursomes Match 4,Patrick Reed,Jordan Spieth,Rafa Cabrera Bello,Sergio Garcia,2016-10-01 13:20:00,Jordan Spieth,USA,Rough,Tee
20124,FALSE,16,1,TRUE,FALSE,9216,5,572,Saturday Foursomes Match 3,Jimmy Walker,Zach Johnson,Justin Rose,Chris Wood,2016-10-01 13:05:00,Jimmy Walker,USA,Fairway,Tee
420,FALSE,15,3,TRUE,TRUE,24,4,405,Saturday Foursomes Match 3,Jimmy Walker,Zach Johnson,Justin Rose,Chris Wood,2016-10-01 13:05:00,Zach Johnson,USA,Green,Green
24,FALSE,15,4,TRUE,TRUE,1,4,405,Saturday Foursomes Match 3,Jimmy Walker,Zach Johnson,Justin Rose,Chris Wood,2016-10-01 13:05:00,Jimmy Walker,USA,Hole,Green
14580,FALSE,15,1,TRUE,FALSE,4176,4,405,Saturday Foursomes Match 4,Patrick Reed,Jordan Spieth,Rafa Cabrera Bello,Sergio Garcia,2016-10-01 13:20:00,Patrick Reed,USA,Rough,Tee
15552,FALSE,18,1,TRUE,FALSE,5688,4,432,Saturday Foursomes Match 3,Jimmy Walker,Zach Johnson,Justin Rose,Chris Wood,2016-10-01 13:05:00,Jimmy Walker,USA,Intermediate Rough,Tee
6336,FALSE,17,1,TRUE,FALSE,900,3,176,Saturday Foursomes Match 3,Jimmy Walker,Zach Johnson,Justin Rose,Chris Wood,2016-10-01 13:05:00,Zach Johnson,USA,Green Fringe,Tee
9792,FALSE,16,2,TRUE,FALSE,3420,5,572,Saturday Foursomes Match 4,Patrick Reed,Jordan Spieth,Rafa Cabrera Bello,Sergio Garcia,2016-10-01 13:20:00,Patrick Reed,USA,Fairway,Rough
4176,FALSE,15,2,TRUE,FALSE,NA,4,405,Saturday Foursomes Match 4,Patrick Reed,Jordan Spieth,Rafa Cabrera Bello,Sergio Garcia,2016-10-01 13:20:00,Jordan Spieth,USA,Water,Rough
792,FALSE,14,3,TRUE,FALSE,60,4,448,Saturday Foursomes Match 4,Patrick Reed,Jordan Spieth,Rafa Cabrera Bello,Sergio Garcia,2016-10-01 13:20:00,Jordan Spieth,USA,Green,Greenside Bunker
900,FALSE,17,2,TRUE,FALSE,48,3,176,Saturday Foursomes Match 3,Jimmy Walker,Zach Johnson,Justin Rose,Chris Wood,2016-10-01 13:05:00,Jimmy Walker,USA,Green,Green Fringe
48,FALSE,17,3,TRUE,TRUE,1,3,176,Saturday Foursomes Match 3,Jimmy Walker,Zach Johnson,Justin Rose,Chris Wood,2016-10-01 13:05:00,Zach Johnson,USA,Hole,Green
NA,TRUE,15,3,TRUE,FALSE,2952,4,405,Saturday Foursomes Match 4,Patrick Reed,Jordan Spieth,Rafa Cabrera Bello,Sergio Garcia,2016-10-01 13:20:00,Jordan Spieth,USA,Fairway,Water
9216,FALSE,16,2,TRUE,FALSE,2520,5,572,Saturday Foursomes Match 3,Jimmy Walker,Zach Johnson,Justin Rose,Chris Wood,2016-10-01 13:05:00,Zach Johnson,USA,Fairway,Fairway
2520,FALSE,16,3,TRUE,FALSE,72,5,572,Saturday Foursomes Match 3,Jimmy Walker,Zach Johnson,Justin Rose,Chris Wood,2016-10-01 13:05:00,Jimmy Walker,USA,Green,Fairway
72,FALSE,16,4,TRUE,TRUE,1,5,572,Saturday Foursomes Match 3,Jimmy Walker,Zach Johnson,Justin Rose,Chris Wood,2016-10-01 13:05:00,Zach Johnson,USA,Hole,Green
3420,FALSE,16,3,TRUE,FALSE,204,5,572,Saturday Foursomes Match 4,Patrick Reed,Jordan Spieth,Rafa Cabrera Bello,Sergio Garcia,2016-10-01 13:20:00,Jordan Spieth,USA,Green,Fairway
204,FALSE,16,4,TRUE,TRUE,12,5,572,Saturday Foursomes Match 4,Patrick Reed,Jordan Spieth,Rafa Cabrera Bello,Sergio Garcia,2016-10-01 13:20:00,Patrick Reed,USA,Green,Green
12,FALSE,16,5,TRUE,TRUE,1,5,572,Saturday Foursomes Match 4,Patrick Reed,Jordan Spieth,Rafa Cabrera Bello,Sergio Garcia,2016-10-01 13:20:00,Jordan Spieth,USA,NA,Green
1260,FALSE,18,3,TRUE,FALSE,180,4,432,Saturday Foursomes Match 3,Jimmy Walker,Zach Johnson,Justin Rose,Chris Wood,2016-10-01 13:05:00,Jimmy Walker,USA,Green,Intermediate Rough
2952,FALSE,15,4,TRUE,FALSE,72,4,405,Saturday Foursomes Match 4,Patrick Reed,Jordan Spieth,Rafa Cabrera Bello,Sergio Garcia,2016-10-01 13:20:00,Patrick Reed,USA,Green,Fairway
5652,FALSE,18,2,TRUE,FALSE,144,4,432,Saturday Foursomes Match 4,Patrick Reed,Jordan Spieth,Rafa Cabrera Bello,Sergio Garcia,2016-10-01 13:20:00,Patrick Reed,USA,Rough,Rough
5688,FALSE,18,2,TRUE,FALSE,1260,4,432,Saturday Foursomes Match 3,Jimmy Walker,Zach Johnson,Justin Rose,Chris Wood,2016-10-01 13:05:00,Zach Johnson,USA,Intermediate Rough,Intermediate Rough
180,FALSE,18,4,TRUE,TRUE,1,4,432,Saturday Foursomes Match 3,Jimmy Walker,Zach Johnson,Justin Rose,Chris Wood,2016-10-01 13:05:00,Zach Johnson,USA,NA,Green
144,FALSE,18,3,TRUE,FALSE,48,4,432,Saturday Foursomes Match 4,Patrick Reed,Jordan Spieth,Rafa Cabrera Bello,Sergio Garcia,2016-10-01 13:20:00,Jordan Spieth,USA,Green,Rough
48,FALSE,18,4,TRUE,TRUE,1,4,432,Saturday Foursomes Match 4,Patrick Reed,Jordan Spieth,Rafa Cabrera Bello,Sergio Garcia,2016-10-01 13:20:00,Patrick Reed,USA,Hole,Green
15444,FALSE,2,1,TRUE,FALSE,4068,4,429,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Brooks Koepka,USA,Rough,Tee
15444,FALSE,2,1,TRUE,FALSE,4212,4,429,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Dustin Johnson,USA,Fairway,Tee
15912,FALSE,1,1,TRUE,FALSE,5364,4,442,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Brooks Koepka,USA,Rough,Tee
5364,FALSE,1,2,TRUE,FALSE,360,4,442,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Brooks Koepka,USA,Green Fringe,Rough
360,FALSE,1,3,TRUE,FALSE,48,4,442,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Brooks Koepka,USA,Green,Green Fringe
48,FALSE,1,4,TRUE,TRUE,1,4,442,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Brooks Koepka,USA,NA,Green
15552,FALSE,18,1,TRUE,FALSE,5652,4,432,Saturday Foursomes Match 4,Patrick Reed,Jordan Spieth,Rafa Cabrera Bello,Sergio Garcia,2016-10-01 13:20:00,Jordan Spieth,USA,Rough,Tee
15912,FALSE,1,1,TRUE,FALSE,4752,4,442,Saturday Fourballs Match 2,Ryan Moore,J B Holmes,Danny Willett,Lee Westwood,2016-10-01 17:45:00,J B Holmes,USA,Fairway,Tee
12,FALSE,4,4,TRUE,TRUE,1,3,210,Saturday Fourballs Match 2,Ryan Moore,J B Holmes,Danny Willett,Lee Westwood,2016-10-01 17:45:00,J B Holmes,USA,Hole,Green
6336,FALSE,17,1,TRUE,FALSE,372,3,176,Saturday Foursomes Match 4,Patrick Reed,Jordan Spieth,Rafa Cabrera Bello,Sergio Garcia,2016-10-01 13:20:00,Patrick Reed,USA,Green,Tee
372,FALSE,17,2,TRUE,TRUE,12,3,176,Saturday Foursomes Match 4,Patrick Reed,Jordan Spieth,Rafa Cabrera Bello,Sergio Garcia,2016-10-01 13:20:00,Jordan Spieth,USA,Green,Green
12,FALSE,17,3,TRUE,TRUE,1,3,176,Saturday Foursomes Match 4,Patrick Reed,Jordan Spieth,Rafa Cabrera Bello,Sergio Garcia,2016-10-01 13:20:00,Patrick Reed,USA,NA,Green
4068,FALSE,2,2,TRUE,FALSE,180,4,429,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Brooks Koepka,USA,Green Fringe,Rough
4212,FALSE,2,2,TRUE,FALSE,192,4,429,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Dustin Johnson,USA,Green,Fairway
192,FALSE,2,3,TRUE,TRUE,24,4,429,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Dustin Johnson,USA,Green,Green
4752,FALSE,1,2,TRUE,FALSE,240,4,442,Saturday Fourballs Match 2,Ryan Moore,J B Holmes,Danny Willett,Lee Westwood,2016-10-01 17:45:00,J B Holmes,USA,Green,Fairway
240,FALSE,1,3,TRUE,TRUE,12,4,442,Saturday Fourballs Match 2,Ryan Moore,J B Holmes,Danny Willett,Lee Westwood,2016-10-01 17:45:00,J B Holmes,USA,Green,Green
540,FALSE,3,4,TRUE,FALSE,1,5,633,Saturday Fourballs Match 3,Phil Mickelson,Matt Kuchar,Sergio Garcia,Martin Kaymer,2016-10-01 18:00:00,Matt Kuchar,USA,NA,Greenside Bunker
15912,FALSE,1,1,TRUE,FALSE,4644,4,442,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Dustin Johnson,USA,Fairway,Tee
4644,FALSE,1,2,TRUE,FALSE,372,4,442,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Dustin Johnson,USA,Green,Fairway
1620,FALSE,3,3,TRUE,FALSE,12,5,633,Saturday Fourballs Match 3,Phil Mickelson,Matt Kuchar,Sergio Garcia,Martin Kaymer,2016-10-01 18:00:00,Phil Mickelson,USA,Green,Rough
24,FALSE,5,3,TRUE,TRUE,1,4,352,Saturday Fourballs Match 3,Phil Mickelson,Matt Kuchar,Sergio Garcia,Martin Kaymer,2016-10-01 18:00:00,Phil Mickelson,USA,NA,Green
180,FALSE,2,3,TRUE,FALSE,12,4,429,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Brooks Koepka,USA,Green,Green Fringe
12,FALSE,2,4,TRUE,TRUE,1,4,429,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Brooks Koepka,USA,NA,Green
22788,FALSE,3,1,TRUE,FALSE,10836,5,633,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Dustin Johnson,USA,Rough,Tee
24,FALSE,2,4,TRUE,TRUE,1,4,429,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Dustin Johnson,USA,NA,Green
12,FALSE,1,4,TRUE,TRUE,1,4,442,Saturday Fourballs Match 2,Ryan Moore,J B Holmes,Danny Willett,Lee Westwood,2016-10-01 17:45:00,J B Holmes,USA,Hole,Green
10836,FALSE,3,2,TRUE,FALSE,1476,5,633,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Dustin Johnson,USA,Rough,Rough
15912,FALSE,1,1,TRUE,FALSE,5832,4,442,Saturday Fourballs Match 2,Ryan Moore,J B Holmes,Danny Willett,Lee Westwood,2016-10-01 17:45:00,Ryan Moore,USA,Fairway,Tee
5832,FALSE,1,2,TRUE,FALSE,420,4,442,Saturday Fourballs Match 2,Ryan Moore,J B Holmes,Danny Willett,Lee Westwood,2016-10-01 17:45:00,Ryan Moore,USA,Green,Fairway
420,FALSE,1,3,TRUE,TRUE,24,4,442,Saturday Fourballs Match 2,Ryan Moore,J B Holmes,Danny Willett,Lee Westwood,2016-10-01 17:45:00,Ryan Moore,USA,Green,Green
24,FALSE,1,4,TRUE,TRUE,1,4,442,Saturday Fourballs Match 2,Ryan Moore,J B Holmes,Danny Willett,Lee Westwood,2016-10-01 17:45:00,Ryan Moore,USA,Hole,Green
1476,FALSE,3,3,TRUE,FALSE,96,5,633,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Dustin Johnson,USA,Green,Rough
15444,FALSE,2,1,TRUE,FALSE,4860,4,429,Saturday Fourballs Match 2,Ryan Moore,J B Holmes,Danny Willett,Lee Westwood,2016-10-01 17:45:00,J B Holmes,USA,Intermediate Rough,Tee
4860,FALSE,2,2,TRUE,FALSE,144,4,429,Saturday Fourballs Match 2,Ryan Moore,J B Holmes,Danny Willett,Lee Westwood,2016-10-01 17:45:00,J B Holmes,USA,Green,Intermediate Rough
7560,FALSE,4,1,TRUE,FALSE,180,3,210,Saturday Fourballs Match 3,Phil Mickelson,Matt Kuchar,Sergio Garcia,Martin Kaymer,2016-10-01 18:00:00,Phil Mickelson,USA,Green,Tee
180,FALSE,4,2,TRUE,TRUE,12,3,210,Saturday Fourballs Match 3,Phil Mickelson,Matt Kuchar,Sergio Garcia,Martin Kaymer,2016-10-01 18:00:00,Phil Mickelson,USA,Green,Green
22788,FALSE,3,1,TRUE,FALSE,10404,5,633,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Brooks Koepka,USA,Rough,Tee
15912,FALSE,1,1,TRUE,FALSE,4212,4,442,Saturday Fourballs Match 3,Phil Mickelson,Matt Kuchar,Sergio Garcia,Martin Kaymer,2016-10-01 18:00:00,Phil Mickelson,USA,Fairway,Tee
10404,FALSE,3,2,TRUE,FALSE,1728,5,633,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Brooks Koepka,USA,Rough,Rough
1728,FALSE,3,3,TRUE,FALSE,72,5,633,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Brooks Koepka,USA,Green,Rough
72,FALSE,3,4,TRUE,TRUE,1,5,633,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Brooks Koepka,USA,Hole,Green
144,FALSE,2,3,TRUE,TRUE,1,4,429,Saturday Fourballs Match 2,Ryan Moore,J B Holmes,Danny Willett,Lee Westwood,2016-10-01 17:45:00,J B Holmes,USA,Hole,Green
12,FALSE,4,3,TRUE,TRUE,1,3,210,Saturday Fourballs Match 3,Phil Mickelson,Matt Kuchar,Sergio Garcia,Martin Kaymer,2016-10-01 18:00:00,Phil Mickelson,USA,NA,Green
15444,FALSE,2,1,TRUE,FALSE,5760,4,429,Saturday Fourballs Match 2,Ryan Moore,J B Holmes,Danny Willett,Lee Westwood,2016-10-01 17:45:00,Ryan Moore,USA,Intermediate Rough,Tee
5760,FALSE,2,2,TRUE,FALSE,168,4,429,Saturday Fourballs Match 2,Ryan Moore,J B Holmes,Danny Willett,Lee Westwood,2016-10-01 17:45:00,Ryan Moore,USA,Green,Intermediate Rough
168,FALSE,2,3,TRUE,TRUE,24,4,429,Saturday Fourballs Match 2,Ryan Moore,J B Holmes,Danny Willett,Lee Westwood,2016-10-01 17:45:00,Ryan Moore,USA,Green,Green
24,FALSE,2,4,TRUE,TRUE,1,4,429,Saturday Fourballs Match 2,Ryan Moore,J B Holmes,Danny Willett,Lee Westwood,2016-10-01 17:45:00,Ryan Moore,USA,Hole,Green
4212,FALSE,1,2,TRUE,FALSE,108,4,442,Saturday Fourballs Match 3,Phil Mickelson,Matt Kuchar,Sergio Garcia,Martin Kaymer,2016-10-01 18:00:00,Phil Mickelson,USA,Green,Fairway
12,FALSE,1,4,TRUE,TRUE,1,4,442,Saturday Fourballs Match 3,Phil Mickelson,Matt Kuchar,Sergio Garcia,Martin Kaymer,2016-10-01 18:00:00,Phil Mickelson,USA,NA,Green
22788,FALSE,3,1,TRUE,FALSE,12168,5,633,Saturday Fourballs Match 2,Ryan Moore,J B Holmes,Danny Willett,Lee Westwood,2016-10-01 17:45:00,Ryan Moore,USA,Intermediate Rough,Tee
96,FALSE,3,4,TRUE,TRUE,12,5,633,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Dustin Johnson,USA,Green,Green
12,FALSE,3,5,TRUE,TRUE,1,5,633,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Dustin Johnson,USA,NA,Green
12168,FALSE,3,2,TRUE,FALSE,5832,5,633,Saturday Fourballs Match 2,Ryan Moore,J B Holmes,Danny Willett,Lee Westwood,2016-10-01 17:45:00,Ryan Moore,USA,Fairway,Intermediate Rough
5832,FALSE,3,3,TRUE,FALSE,720,5,633,Saturday Fourballs Match 2,Ryan Moore,J B Holmes,Danny Willett,Lee Westwood,2016-10-01 17:45:00,Ryan Moore,USA,Greenside Bunker,Fairway
15912,FALSE,1,1,TRUE,FALSE,5112,4,442,Saturday Fourballs Match 4,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-10-01 18:15:00,Jordan Spieth,USA,Intermediate Rough,Tee
7560,FALSE,4,1,TRUE,FALSE,204,3,210,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Dustin Johnson,USA,Green,Tee
204,FALSE,4,2,TRUE,TRUE,24,3,210,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Dustin Johnson,USA,Green,Green
24,FALSE,4,3,TRUE,TRUE,1,3,210,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Dustin Johnson,USA,NA,Green
5112,FALSE,1,2,TRUE,FALSE,84,4,442,Saturday Fourballs Match 4,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-10-01 18:15:00,Jordan Spieth,USA,Green,Intermediate Rough
15444,FALSE,2,1,TRUE,FALSE,5292,4,429,Saturday Fourballs Match 3,Phil Mickelson,Matt Kuchar,Sergio Garcia,Martin Kaymer,2016-10-01 18:00:00,Matt Kuchar,USA,Rough,Tee
5292,FALSE,2,2,TRUE,FALSE,180,4,429,Saturday Fourballs Match 3,Phil Mickelson,Matt Kuchar,Sergio Garcia,Martin Kaymer,2016-10-01 18:00:00,Matt Kuchar,USA,Green,Rough
7560,FALSE,4,1,TRUE,FALSE,60,3,210,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Brooks Koepka,USA,Green,Tee
60,FALSE,4,2,TRUE,TRUE,12,3,210,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Brooks Koepka,USA,Green,Green
11196,FALSE,5,1,TRUE,FALSE,864,4,352,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Brooks Koepka,USA,Rough,Tee
12,FALSE,4,3,TRUE,TRUE,1,3,210,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Brooks Koepka,USA,NA,Green
864,FALSE,5,2,TRUE,FALSE,216,4,352,Saturday Fourballs Match 1,Dustin Johnson,Brooks Koepka,Rory Mcilroy,Thomas Pieters,2016-10-01 17:30:00,Brooks Koepka,USA,Green,Rough
15444,FALSE,2,1,TRUE,FALSE,5220,4,429,Saturday Fourballs Match 3,Phil Mickelson,Matt Kuchar,Sergio Garcia,Martin Kaymer,2016-10-01 18:00:00,Phil Mickelson,USA,Fairway Bunker,Tee
5220,FALSE,2,2,TRUE,FALSE,192,4,429,Saturday Fourballs Match 3,Phil Mickelson,Matt Kuchar,Sergio Garcia,Martin Kaymer,2016-10-01 18:00:00,Phil Mickelson,USA,Green,Fairway Bunker
192,FALSE,2,3,FALSE,TRUE,1,4,429,Saturday Fourballs Match 3,Phil Mickelson,Matt Kuchar,Sergio Garcia,Martin Kaymer,2016-10-01 18:00:00,Phil Mickelson,USA,NA,Green
15912,FALSE,1,1,TRUE,FALSE,4824,4,442,Saturday Fourballs Match 4,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-10-01 18:15:00,Patrick Reed,USA,Fairway,Tee
22788,FALSE,3,1,TRUE,FALSE,10764,5,633,Saturday Fourballs Match 2,Ryan Moore,J B Holmes,Danny Willett,Lee Westwood,2016-10-01 17:45:00,J B Holmes,USA,Intermediate Rough,Tee
4824,FALSE,1,2,TRUE,FALSE,144,4,442,Saturday Fourballs Match 4,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-10-01 18:15:00,Patrick Reed,USA,Green,Fairway
10764,FALSE,3,2,TRUE,FALSE,1260,5,633,Saturday Fourballs Match 2,Ryan Moore,J B Holmes,Danny Willett,Lee Westwood,2016-10-01 17:45:00,J B Holmes,USA,Greenside Bunker,Intermediate Rough
1260,FALSE,3,3,TRUE,FALSE,216,5,633,Saturday Fourballs Match 2,Ryan Moore,J B Holmes,Danny Willett,Lee Westwood,2016-10-01 17:45:00,J B Holmes,USA,Green,Greenside Bunker
12,FALSE,1,4,TRUE,TRUE,1,4,442,Saturday Fourballs Match 4,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-10-01 18:15:00,Patrick Reed,USA,NA,Green
12,FALSE,1,4,TRUE,TRUE,1,4,442,Saturday Fourballs Match 4,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-10-01 18:15:00,Jordan Spieth,USA,Green,Green
